,id,income,recency,wines,fruits,meat,fish,sweets,gold,customers_engagement,age,kids,total_amount_spent,marital_status,education
44,2139,7500.0,19,3,1,10,3,2,12,1,39,1,31,In relationship,PG
45,1371,79941.0,72,123,164,266,227,30,174,0,38,0,984,Single,PG
46,9909,7500.0,24,3,18,14,15,22,50,2,18,0,122,In relationship,PG
47,7286,41728.0,92,13,6,15,3,5,13,1,46,1,55,In relationship,PG
49,6566,72550.0,39,826,50,317,50,38,38,2,60,2,1319,In relationship,PG
50,8614,65486.0,29,245,19,125,37,67,14,0,57,1,507,Single,PG
51,4114,79143.0,2,650,37,780,27,167,32,2,50,0,1693,In relationship,PG
52,1331,35790.0,54,12,6,20,30,1,3,1,37,1,72,Single,PG
53,2225,82582.0,54,510,120,550,156,40,241,0,37,0,1617,Single,PG
54,9381,66373.0,57,328,9,124,12,24,109,1,36,2,606,In relationship,PG
55,6260,82384.0,55,984,51,432,180,120,190,2,59,0,1957,In relationship,PG
56,10383,70287.0,30,295,35,482,121,120,40,1,48,0,1093,Single,PG
57,7437,27938.0,31,13,0,8,2,1,5,0,26,1,29,Single,PG
59,8375,55954.0,63,447,0,28,0,0,43,0,46,1,518,In relationship,PG
60,6853,75777.0,12,712,26,538,69,13,80,1,32,0,1438,Single,PG
61,3076,66653.0,18,452,18,102,16,18,6,2,39,2,612,In relationship,PG
62,1012,61823.0,26,523,7,134,37,14,169,1,62,1,884,Single,PG
63,6518,67680.0,8,546,0,48,0,6,6,1,63,1,606,Single,PG
64,4137,70666.0,29,398,40,367,119,122,30,1,66,0,1076,In relationship,PG
65,8082,25721.0,75,1,3,6,3,6,15,1,43,1,34,In relationship,PG
66,1386,32474.0,0,10,0,1,0,0,0,0,47,2,11,In relationship,PG
67,9369,88194.0,19,688,14,309,201,24,38,0,35,1,1274,Single,PG
68,4477,69096.0,4,247,49,159,7,82,109,1,56,1,653,In relationship,PG
69,1357,74854.0,90,856,59,487,58,29,73,1,44,3,1562,In relationship,PG
70,1402,66991.0,1,496,36,460,189,60,12,2,60,0,1253,In relationship,PG
72,6312,65031.0,29,258,107,291,84,37,86,1,55,1,863,In relationship,PG
73,8132,60631.0,88,565,6,65,0,6,19,1,39,2,661,In relationship,PG
74,1050,28332.0,58,14,10,13,4,15,9,0,62,0,65,In relationship,PG
75,5846,40246.0,68,2,1,6,2,1,1,2,37,1,13,Single,PG
76,1859,75251.0,34,721,111,925,97,18,18,2,42,0,1890,In relationship,PG
77,7503,75825.0,40,1032,105,779,137,105,51,2,38,0,2209,Single,PG
78,10401,26326.0,12,1,0,5,0,3,9,1,38,0,18,In relationship,PG
79,1618,56046.0,9,577,0,64,0,0,51,1,49,0,692,In relationship,PG
80,3332,29760.0,87,64,4,68,7,5,17,2,29,1,165,Single,PG
81,2261,26304.0,5,4,1,5,2,0,4,1,45,1,16,In relationship,PG
82,5346,23559.0,87,25,5,19,7,0,23,1,41,1,79,In relationship,PG
83,4119,38620.0,56,112,17,44,34,22,89,1,51,0,318,In relationship,PG
84,535,81361.0,18,163,23,424,27,65,76,0,27,0,778,Single,PG
85,5268,29440.0,95,17,8,14,10,4,3,1,54,2,56,In relationship,PG
86,273,36138.0,48,130,0,16,0,0,5,1,44,2,151,In relationship,PG
87,4452,50388.0,3,292,6,37,0,3,34,0,57,1,372,Single,PG
88,8504,79593.0,70,350,60,568,110,133,145,0,41,0,1366,In relationship,PG
89,771,54178.0,79,135,9,39,4,0,7,0,47,1,194,In relationship,PG
93,11178,42394.0,69,15,2,10,0,1,4,0,42,1,32,Single,PG
94,2230,23626.0,84,27,2,14,0,0,0,0,44,1,43,In relationship,PG
95,7516,30096.0,30,5,3,11,12,5,9,0,31,1,45,In relationship,PG
96,7247,47916.0,72,505,0,26,0,0,75,2,54,1,606,Single,PG
97,11100,51813.0,37,51,2,7,0,1,2,1,42,2,63,Single,PG
98,4646,78497.0,44,207,26,447,75,0,223,1,63,0,978,In relationship,PG
99,3037,50150.0,32,135,46,92,65,61,11,1,31,0,410,In relationship,PG
100,1473,47823.0,0,53,1,5,2,1,10,1,54,1,72,Single,PG
101,1016,34554.0,43,41,1,6,2,0,5,0,55,1,55,Single,PG
102,4518,85693.0,59,386,172,183,185,132,111,1,35,1,1169,In relationship,PG
103,9370,65846.0,68,562,81,276,80,40,81,1,69,0,1120,In relationship,PG
104,8908,87195.0,35,217,76,690,50,26,38,0,55,0,1097,In relationship,PG
105,8373,24594.0,94,1,3,6,10,0,9,1,35,1,29,In relationship,UG
106,7533,49096.0,15,144,1,32,2,1,7,1,50,2,187,In relationship,PG
107,2683,52413.0,56,295,106,271,75,98,65,1,45,2,910,In relationship,PG
108,3629,38557.0,17,76,3,31,4,4,27,2,36,1,145,Single,PG
109,10991,89058.0,18,454,194,106,31,22,43,2,54,0,850,In relationship,PG
110,5077,77298.0,46,425,115,292,23,35,79,1,35,1,969,In relationship,PG
111,7431,68126.0,40,1332,17,311,23,51,86,2,23,0,1820,Single,PG
112,3267,57288.0,27,527,0,21,0,0,60,0,51,1,608,In relationship,PG
113,999,86037.0,95,490,44,125,29,20,22,1,23,0,730,Single,PG
114,9215,43974.0,19,378,0,101,0,0,72,2,34,1,551,In relationship,PG
115,2286,50785.0,27,64,1,21,0,1,27,1,52,2,114,Single,PG
116,1592,90765.0,25,547,99,812,151,82,33,0,44,0,1724,In relationship,PG
117,367,36550.0,74,47,90,94,123,103,120,1,36,1,577,In relationship,PG
118,5234,30753.0,85,12,5,25,0,9,30,1,47,2,81,In relationship,PG
119,9862,21918.0,37,1,6,7,11,5,3,1,45,1,33,In relationship,PG
120,9805,56129.0,65,320,48,133,39,72,48,1,61,1,660,In relationship,PG
121,6205,32557.0,13,34,3,29,0,4,10,0,47,1,80,Single,PG
122,8442,19510.0,63,9,0,7,3,4,7,1,29,2,30,In relationship,PG
123,7386,30992.0,83,17,0,14,7,3,2,1,38,1,43,Single,PG
124,7215,101970.0,69,722,27,102,44,72,168,1,31,0,1135,Single,PG
125,1491,71488.0,87,162,33,124,40,28,172,1,49,0,559,In relationship,PG
126,11071,79607.0,37,450,133,951,173,0,216,1,30,0,1923,Single,PG
127,3381,54348.0,51,70,0,16,0,0,4,0,61,2,90,In relationship,PG
129,11051,77376.0,72,492,19,110,16,12,12,0,58,2,661,In relationship,PG
130,8026,62998.0,10,120,58,73,65,89,58,1,62,1,463,In relationship,PG
131,433,61331.0,42,534,5,47,0,5,41,1,56,2,632,Single,PG
132,9597,73448.0,10,236,106,189,23,41,130,0,45,0,725,In relationship,PG
134,5290,41551.0,51,220,0,33,3,0,23,1,50,2,279,In relationship,PG
135,1685,62981.0,21,796,14,590,38,44,0,1,47,0,1482,In relationship,PG
136,5342,9548.0,31,0,1,3,10,6,9,2,38,1,29,Single,UG
137,9579,33762.0,61,53,1,34,2,0,16,1,55,3,106,In relationship,PG
138,7660,35860.0,37,15,0,8,4,2,20,0,41,2,49,Single,PG
139,1461,36921.0,74,17,1,12,3,1,4,1,49,2,38,Single,PG
140,821,92859.0,46,962,61,921,52,61,20,2,22,0,2077,Single,PG
141,11084,65104.0,4,738,0,232,13,20,50,1,38,1,1053,In relationship,PG
142,8690,86111.0,73,399,28,756,36,40,126,1,52,0,1385,In relationship,PG
143,2937,68352.0,47,614,16,132,43,33,33,1,40,1,871,Single,PG
144,9701,41883.0,13,32,34,41,73,16,116,1,26,1,312,In relationship,PG
145,9949,59809.0,36,598,16,141,32,41,49,2,38,2,877,In relationship,PG
146,10837,23957.0,47,2,1,18,20,11,16,2,39,1,68,In relationship,PG
147,3120,38547.0,49,6,1,10,0,1,4,1,33,1,22,In relationship,PG
148,5885,35688.0,94,73,3,90,12,1,32,2,41,3,211,In relationship,PG
149,4050,49605.0,65,42,16,29,12,20,8,0,48,0,127,In relationship,PG
150,3830,59354.0,59,295,21,78,39,13,13,0,61,2,459,In relationship,PG
151,7987,65747.0,96,346,17,48,23,13,13,0,45,1,460,In relationship,PG
152,7798,46344.0,28,233,20,57,8,20,91,2,42,1,429,In relationship,PG
153,92,34176.0,12,5,7,24,19,14,20,0,26,1,89,Single,PG
154,7055,61010.0,57,888,0,57,0,0,76,2,62,1,1021,In relationship,PG
155,10240,69372.0,10,997,26,269,34,13,42,1,65,0,1381,In relationship,PG
156,3025,49967.0,4,212,6,69,4,12,3,1,56,1,306,Single,PG
157,9283,60199.0,49,8,1,7,2,0,0,1,36,3,18,Single,PG
158,9970,55375.0,3,42,11,57,10,28,14,1,37,1,162,In relationship,PG
159,2730,80317.0,64,536,11,387,149,91,57,1,59,0,1231,Single,PG
160,2795,30523.0,0,5,0,3,0,0,5,1,56,3,13,Single,PG
161,9260,70356.0,20,1349,16,249,43,16,33,2,69,0,1706,In relationship,PG
162,8182,23228.0,91,53,3,49,7,4,5,0,30,1,121,In relationship,PG
163,10095,74165.0,9,1001,12,240,16,12,12,1,39,0,1293,Single,PG
164,8475,157243.0,98,20,2,1582,1,2,1,0,41,1,1608,In relationship,PG
165,4370,43482.0,83,18,1,32,6,3,28,1,48,3,88,In relationship,PG
166,10573,62551.0,27,125,16,98,134,21,27,1,61,0,421,Single,PG
167,3712,52332.0,63,212,5,33,7,0,2,1,55,0,259,Single,PG
168,6637,66951.0,46,277,162,305,173,76,124,1,26,0,1117,Single,PG
169,3152,26091.0,84,15,10,19,8,17,20,0,57,2,89,In relationship,PG
170,5610,33456.0,58,7,3,10,8,1,7,0,49,2,36,In relationship,PG
171,6460,28718.0,78,12,4,6,11,8,16,1,32,1,57,In relationship,PG
172,1349,50447.0,4,85,7,24,2,3,27,0,44,2,148,In relationship,PG
173,1880,53537.0,17,81,0,6,0,0,6,0,55,2,93,In relationship,PG
174,641,52074.0,77,59,0,12,0,0,48,0,47,1,119,Single,PG
175,8717,80427.0,56,1149,71,449,69,71,26,2,39,1,1835,In relationship,PG
176,10314,83837.0,79,847,66,119,86,89,111,2,66,0,1318,In relationship,PG
177,10854,38853.0,90,29,0,14,0,0,2,0,44,2,45,In relationship,PG
178,10492,38285.0,96,2,0,5,2,0,1,0,55,3,10,In relationship,PG
179,6935,78497.0,44,207,26,447,75,0,223,1,63,0,978,In relationship,PG
180,7698,51650.0,81,152,3,22,2,5,7,0,38,1,191,In relationship,PG
181,3559,16248.0,77,12,11,10,3,12,9,0,26,1,57,In relationship,PG
182,10562,66835.0,21,620,26,195,34,17,141,1,68,0,1033,In relationship,PG
183,10796,30477.0,16,47,1,6,0,0,12,0,30,1,66,In relationship,PG
184,2563,28249.0,80,1,9,7,2,14,10,0,53,0,43,In relationship,UG
185,3518,25271.0,45,10,1,18,10,4,7,2,31,1,50,In relationship,PG
186,5823,32303.0,63,35,0,2,0,0,2,0,44,1,39,Single,PG
187,3934,61286.0,34,356,0,107,19,9,117,1,48,1,608,In relationship,PG
188,6982,74068.0,14,783,30,537,140,76,15,1,38,0,1581,In relationship,PG
189,6431,45759.0,13,42,1,18,3,0,4,1,50,2,68,In relationship,PG
190,9733,24882.0,52,1,4,10,29,0,36,2,36,1,80,In relationship,UG
191,5602,66973.0,98,466,22,432,147,113,102,1,25,0,1282,In relationship,PG
193,1324,38872.0,93,23,3,21,3,19,22,1,26,1,91,In relationship,PG
194,326,51148.0,38,235,6,45,8,9,12,1,41,2,315,In relationship,PG
195,7224,31353.0,24,10,0,10,3,1,7,1,37,2,31,In relationship,PG
196,6999,69661.0,80,656,16,106,32,16,8,0,34,0,834,In relationship,PG
197,9938,80067.0,82,519,17,813,27,173,51,1,60,0,1600,In relationship,PG
198,6422,86718.0,20,344,189,482,50,33,172,1,60,0,1270,In relationship,PG
199,3182,46854.0,81,96,1,79,7,1,79,0,41,2,263,Single,PG
200,7300,69142.0,50,448,4,34,6,4,39,0,62,1,535,Single,PG
201,10424,75922.0,60,265,138,553,224,23,92,1,46,0,1295,Single,PG
202,8727,63693.0,63,587,43,337,42,87,54,1,36,1,1150,Single,PG
203,2798,102160.0,54,763,29,138,76,176,58,2,37,0,1240,In relationship,PG
204,1030,40637.0,72,22,0,13,0,0,3,1,49,2,38,Single,PG
205,624,18890.0,5,6,4,1,7,2,15,2,30,0,35,Single,PG
206,5176,29604.0,88,7,6,13,7,6,14,1,26,1,53,In relationship,PG
207,5552,48721.0,50,81,18,113,47,13,21,1,51,2,293,Single,PG
208,868,44794.0,99,54,0,7,0,0,4,0,48,1,65,In relationship,PG
209,380,64497.0,17,1170,48,320,42,32,192,2,60,1,1804,Single,PG
210,2677,46097.0,11,72,24,68,65,4,8,1,58,1,241,In relationship,PG
211,6521,77972.0,18,613,22,319,33,102,12,0,60,0,1101,In relationship,PG
212,6927,44377.0,70,224,0,30,0,0,10,2,46,2,264,In relationship,PG
213,2877,46014.0,21,410,0,59,19,9,44,1,40,2,541,In relationship,PG
214,0,70951.0,66,239,10,554,254,87,54,1,29,0,1198,In relationship,PG
215,1584,41443.0,79,171,7,171,25,19,89,0,37,1,482,In relationship,PG
216,7264,52195.0,2,12,0,4,0,0,1,0,36,3,17,Single,PG
217,6274,83790.0,81,1076,16,417,42,48,16,1,66,0,1615,In relationship,PG
218,1377,44551.0,24,182,4,33,0,0,66,1,60,1,285,Single,PG
219,454,69508.0,48,824,32,162,42,32,43,2,34,1,1135,In relationship,PG
220,1755,45204.0,93,30,11,25,29,1,18,0,26,1,114,In relationship,PG
221,2075,72460.0,56,377,10,540,80,30,10,1,45,0,1047,In relationship,PG
222,4785,77622.0,3,520,7,154,19,0,14,0,44,2,714,In relationship,PG
223,9076,30732.0,44,155,1,25,0,1,3,1,34,1,185,In relationship,PG
224,7079,63887.0,38,897,23,207,15,11,92,2,52,1,1245,Single,PG
225,4653,42011.0,46,131,0,16,2,1,39,1,36,1,189,In relationship,PG
226,7375,51369.0,84,297,7,79,0,11,182,2,38,1,576,In relationship,PG
227,709,51537.0,27,787,20,204,0,0,92,2,62,1,1103,Single,PG
228,460,79930.0,72,792,86,740,67,51,17,2,42,0,1753,In relationship,PG
229,3726,34320.0,66,4,1,9,3,0,0,0,28,1,17,In relationship,PG
230,6798,37070.0,30,231,7,137,4,15,39,1,48,2,433,Single,PG
231,5341,81975.0,2,983,76,184,180,138,27,1,52,1,1588,Single,PG
232,1606,38590.0,65,3,1,8,4,3,3,1,43,1,22,In relationship,PG
233,9617,15033.0,37,0,4,5,6,0,4,0,63,0,19,Single,PG
234,3233,62745.0,89,562,21,464,28,10,32,1,49,1,1117,In relationship,PG
235,89,22212.0,49,5,9,20,6,8,21,1,39,1,69,In relationship,PG
236,2936,23661.0,46,18,0,4,0,0,1,1,32,1,23,In relationship,PG
237,9449,79761.0,32,415,5,124,15,35,11,1,56,1,605,Single,PG
238,7297,7500.0,54,5,3,10,12,7,20,1,41,1,57,Single,PG
240,313,73455.0,98,901,61,757,186,163,20,1,46,0,2088,Single,PG
241,9940,64961.0,97,382,114,276,75,124,38,2,56,1,1009,In relationship,PG
242,10735,22804.0,75,14,1,7,2,1,1,1,43,1,26,Single,PG
243,9529,73687.0,8,559,153,503,218,13,181,1,24,0,1627,In relationship,PG
244,6439,61074.0,37,789,0,133,0,28,152,2,56,1,1102,In relationship,PG
245,7411,31686.0,31,11,0,5,0,0,1,0,50,2,17,In relationship,PG
246,2176,80134.0,40,1218,16,272,104,0,80,1,42,1,1690,In relationship,PG
247,9265,75027.0,74,925,64,179,133,12,77,1,61,1,1390,In relationship,PG
248,8867,67546.0,90,864,134,768,150,38,172,2,26,0,2126,In relationship,PG
249,8932,65176.0,57,960,28,183,220,70,70,2,45,1,1531,In relationship,PG
250,10236,31160.0,59,16,3,25,6,1,13,1,39,1,64,Single,PG
251,6340,29938.0,52,3,3,7,0,2,11,1,29,1,26,Single,PG
252,10089,102692.0,5,168,148,444,32,172,148,1,40,0,1112,Single,PG
253,2227,26490.0,92,45,47,52,21,20,25,2,56,0,210,In relationship,PG
254,10992,75702.0,77,650,28,353,45,42,30,2,47,2,1148,In relationship,PG
255,5304,30899.0,35,24,0,8,0,0,1,2,40,1,33,Single,PG
256,309,63342.0,48,918,21,118,13,10,21,2,53,1,1101,In relationship,PG
257,3406,45989.0,97,138,33,87,28,24,12,2,50,1,322,Single,PG
258,2661,18701.0,95,12,4,2,10,6,10,1,50,2,44,Single,PG
259,3153,40737.0,24,11,0,4,0,0,2,1,57,3,17,Single,PG
260,10264,15287.0,60,1,2,8,4,3,13,2,35,1,31,Single,PG
261,1184,69674.0,46,554,41,215,11,0,24,1,46,2,845,Single,PG
262,4200,44159.0,85,167,2,62,24,13,7,0,44,1,275,In relationship,PG
263,9396,37717.0,31,9,0,6,4,1,5,2,36,1,25,In relationship,PG
264,2387,43776.0,9,177,2,71,3,2,20,1,62,2,275,In relationship,PG
265,6690,38179.0,30,38,4,22,4,2,20,1,48,2,90,In relationship,PG
266,1225,80124.0,47,483,84,398,205,84,241,0,51,0,1495,In relationship,PG
267,9703,38097.0,70,77,2,35,0,1,69,2,44,2,184,In relationship,PG
268,291,72940.0,13,182,74,298,162,149,116,1,44,0,981,In relationship,PG
269,4557,22070.0,11,10,7,19,8,2,21,1,44,1,67,In relationship,PG
270,2379,69267.0,31,778,44,499,95,73,146,2,61,0,1635,Single,PG
271,5726,31788.0,15,16,7,23,0,8,6,0,31,1,60,Single,PG
272,3066,61905.0,2,167,0,43,6,2,13,0,39,1,231,In relationship,PG
273,6336,29315.0,55,13,2,14,8,7,4,0,54,2,48,In relationship,PG
274,10967,33378.0,38,33,6,40,3,7,10,1,51,2,99,Single,PG
275,2304,66313.0,86,625,7,99,10,22,7,1,51,1,770,In relationship,PG
276,3445,60714.0,56,216,162,224,101,92,162,1,58,0,957,Single,PG
277,7828,77882.0,29,68,129,396,188,22,15,0,33,0,818,In relationship,PG
278,3762,69867.0,30,196,0,512,33,130,54,1,28,0,925,Single,PG
279,4391,63841.0,64,635,15,100,20,7,131,1,46,1,908,Single,PG
280,4669,24480.0,46,4,19,9,28,25,17,1,33,1,102,In relationship,UG
281,10144,51369.0,84,297,7,79,0,11,182,2,38,1,576,In relationship,PG
282,8652,37760.0,20,84,5,38,150,12,28,2,68,0,317,In relationship,PG
283,1672,65640.0,74,204,7,149,20,15,66,0,40,1,461,In relationship,PG
284,8962,44319.0,18,26,0,8,0,0,3,0,39,2,37,In relationship,PG
285,9974,30631.0,75,15,6,20,4,5,20,1,40,1,70,In relationship,PG
286,10983,75278.0,17,304,98,230,150,74,74,1,62,0,930,In relationship,PG
287,8148,50898.0,88,285,28,242,55,114,135,1,58,2,859,In relationship,PG
288,10102,79946.0,19,395,183,565,166,141,28,0,48,0,1478,Single,PG
289,4697,35416.0,62,248,3,81,4,3,51,1,65,0,390,Single,PG
290,9262,32414.0,11,20,6,5,0,9,12,1,30,0,52,In relationship,PG
291,7254,38361.0,74,39,0,56,20,8,14,1,45,1,137,In relationship,PG
292,4543,82497.0,32,777,129,573,216,21,203,2,34,0,1919,In relationship,PG
293,4927,16626.0,76,8,3,22,21,1,13,0,43,2,68,In relationship,PG
294,10451,29672.0,6,9,1,3,0,4,8,1,49,2,25,In relationship,PG
295,2926,55951.0,62,1241,0,80,0,13,40,2,62,1,1374,In relationship,PG
296,2874,35388.0,20,6,4,7,4,3,8,1,26,1,32,Single,PG
297,9738,42386.0,43,65,4,16,0,4,11,1,28,1,100,In relationship,PG
298,7119,68627.0,45,395,15,263,60,54,38,1,32,0,825,Single,PG
299,3924,57912.0,34,801,0,80,0,0,35,0,49,1,916,Single,PG
300,5827,35246.0,53,36,0,12,2,2,10,0,56,2,62,Single,PG
301,5596,58821.0,44,513,14,154,19,0,28,1,58,1,728,In relationship,PG
302,10812,46377.0,89,37,0,46,4,3,0,0,36,1,90,In relationship,PG
303,1717,39747.0,43,80,15,93,20,13,52,0,26,1,273,Single,PG
304,9491,23976.0,68,14,1,21,2,3,25,1,30,1,66,In relationship,PG
305,9274,80950.0,44,525,147,112,219,147,63,1,53,0,1213,In relationship,PG
306,6609,27038.0,64,1,26,25,17,23,15,2,48,0,107,Single,PG
307,6963,77457.0,85,675,11,400,15,45,11,0,67,0,1157,Single,PG
308,4440,64100.0,93,509,0,27,0,0,10,1,50,1,546,In relationship,PG
309,1379,42670.0,12,154,2,46,20,4,15,1,22,0,241,In relationship,PG
310,10032,12571.0,86,3,5,14,2,12,17,0,38,1,53,Single,PG
311,2826,22574.0,28,25,0,8,2,0,2,1,47,3,37,In relationship,PG
313,6320,70893.0,42,768,44,561,77,44,14,1,38,0,1508,Single,PG
314,3050,54198.0,13,185,0,28,3,2,17,1,48,2,235,In relationship,PG
315,231,28839.0,86,24,0,7,0,0,1,0,58,2,32,In relationship,PG
316,2392,40321.0,59,44,4,21,6,0,27,1,42,2,102,In relationship,PG
317,9478,66503.0,30,91,64,128,65,3,50,2,29,1,401,Single,PG
318,113,30833.0,33,11,0,7,3,1,6,1,63,2,28,In relationship,PG
320,1802,64795.0,23,412,5,119,38,29,77,1,43,1,680,In relationship,PG
321,520,34421.0,81,3,3,7,6,2,9,1,40,1,30,In relationship,PG
322,8275,47025.0,6,16,0,3,0,0,1,0,49,2,20,Single,PG
323,9750,64325.0,41,731,60,353,78,12,73,1,53,1,1307,Single,PG
324,2607,40464.0,78,424,17,118,7,23,41,1,61,1,630,Single,PG
325,7214,62187.0,49,792,0,275,45,45,126,1,57,0,1283,In relationship,PG
326,5835,14849.0,39,21,2,28,3,2,9,1,38,1,65,Single,PG
327,3896,27255.0,3,22,1,11,0,1,2,1,30,1,37,In relationship,PG
328,10350,54432.0,37,33,0,5,0,0,0,1,64,3,38,In relationship,PG
329,7786,29999.0,22,68,7,59,10,5,11,1,28,1,160,Single,PG
330,2861,24072.0,79,9,1,6,3,0,4,1,31,1,23,Single,PG
331,663,33996.0,46,40,2,15,8,0,6,1,25,0,71,Single,PG
332,10675,66334.0,82,909,11,218,0,0,23,1,58,1,1161,In relationship,PG
333,2521,35178.0,10,23,1,13,2,2,18,1,43,1,59,In relationship,PG
334,9592,22010.0,51,11,2,9,3,0,8,1,31,1,33,In relationship,PG
335,10151,62204.0,38,317,46,247,151,46,139,2,54,2,946,Single,PG
336,7381,75693.0,10,797,153,293,72,97,30,2,46,0,1442,Single,PG
337,4099,30675.0,14,10,2,16,11,2,21,2,42,1,62,In relationship,PG
338,9560,83003.0,18,856,61,570,40,25,122,1,49,0,1674,In relationship,PG
340,10172,68655.0,95,456,19,832,75,118,38,2,26,0,1538,Single,PG
341,11191,41411.0,11,37,32,38,11,3,18,1,28,0,139,Single,PG
342,9707,55212.0,65,1103,0,45,0,0,34,2,45,1,1182,In relationship,PG
343,6245,59292.0,71,378,14,68,19,14,14,1,64,1,507,In relationship,PG
344,8234,27190.0,13,1,6,7,0,1,3,1,41,1,18,In relationship,UG
345,1411,82623.0,58,204,34,204,172,153,173,1,62,0,940,Single,PG
346,8553,44300.0,65,30,0,9,0,0,3,1,49,2,42,In relationship,PG
347,1826,84835.0,0,189,104,379,111,189,218,0,44,0,1190,Single,PG
348,8842,30372.0,33,15,0,12,7,3,7,2,43,2,44,Single,PG
349,11030,33181.0,90,9,0,3,0,0,4,0,38,1,16,In relationship,PG
350,2579,71113.0,95,495,33,255,11,33,8,1,57,1,835,In relationship,PG
351,175,71952.0,93,656,80,455,52,107,93,1,28,1,1443,In relationship,PG
352,9185,69759.0,38,452,20,514,13,30,0,1,48,0,1029,Single,PG
353,11056,72099.0,18,546,91,410,119,0,22,2,40,0,1188,In relationship,PG
354,9365,60000.0,57,1048,0,217,0,0,12,2,38,1,1277,Single,PG
355,6201,38643.0,45,22,2,14,0,1,10,1,36,2,49,Single,PG
356,2061,50737.0,61,78,0,11,0,0,10,1,59,1,99,In relationship,PG
357,6184,68462.0,6,561,64,785,84,128,48,2,45,0,1670,In relationship,PG
358,6142,65073.0,65,629,17,177,69,0,8,1,71,0,900,In relationship,PG
359,4107,46681.0,52,269,15,69,15,19,38,1,66,2,425,In relationship,PG
360,7274,78618.0,87,736,163,818,212,163,61,2,57,0,2153,In relationship,PG
361,9336,62187.0,38,512,0,83,0,0,41,0,45,1,636,Single,PG
362,2958,28442.0,53,19,3,10,11,8,6,0,36,2,57,In relationship,PG
363,933,37717.0,31,9,0,6,4,1,5,2,36,1,25,In relationship,PG
364,5837,51479.0,67,247,8,160,6,8,65,2,47,2,494,In relationship,PG
365,10704,54803.0,65,404,0,92,28,27,142,2,45,1,693,Single,PG
366,5125,79530.0,64,333,0,815,129,42,29,1,54,0,1348,In relationship,PG
