,cleaned_tweet
17,  Yes and also thiefnubu. The winner will be PETER GREGORY OBI  ObiDatti023
18,"  HOW FAR? HOW MUCH IS 1$ TO NAIRA TODAY?   I SAY MAKE I TELL YOU SAY, E NO GO BETTER FOR APC AND EVERYONE SUPPORTING THEM!!    PeterObi4President2023  ObiDatti023 WIKE/ FUNKE/SHETTIMA.  "
19,  Thanks for giving us hope   next president of Nigeria 2023 to 2031    ObiDatti023
20,"  If you like commend his ancestors!.. OBJ has spoken, and that is final.  ObiDatti023"
21,_Who dem pray for naver blow_  _who dem swear for won dey shine_ 😅😅  ObiDatti023  AsuuStrikeUpdates  Naija  VawulenceSpace  vawulence  vawu
22,Still  moving on    ObiDatti023   PeterObi4President2023  
23,It will not make any difference.tge peoples heart are with    ObiDatti023  
24,  Who are these unfortunate human beings making noise all over this place thinking they can match obidients? Why not go and look for your daddy's HOME MADE WAEC CERTIFICATE?  ObiDatti023
25,"Imagine when Ekweremadu get 40 properties, how many tinubu go get 😩😩   Obidatti023 Thieftinubu Funke Akindele Abia Hushpuppi  ifeanyiisalive CONGRATULATIONS DOYIN  Chioma APGA Wike Enugu Seyi sambisa Rivers state the woman King  Chimaroke prison ibadan Kashim Shettima  Yahaya"
26,My President!!!!!!!   ObiDatti023   PeterObi4President2023   PeterObiForPresident  
27,"“This is a country where only the criminals survive, if you are honest nobody calls &amp; wants to do anything with you. …You can imagine what they are doing to me.” - Peter obi  Nigeria🇳🇬   endsars   ObiDatti023   "
28,Vote wisely.  PeterObi4President2023   ObiDatti023  
29,"The forces of darkness are working tirelessly but at the end, the light that is determined to shine will prevail.  PeterObi4President2023   ObiDatti023  "
30,"Mehn, the only thing i need from the govt is equity, justice, motorable roads and security.  If economy adjust,  we go adjust.  That's all.  ObiDatti023  "
31,    Oga rest na 🙄... How much las las dem go give u ..  ObiDatti023
32,"""PETER OBI MEETS WITH ALL THE SUPPO GROUPS""   nigeria  PeterObi4President2023  njenjemediatv  ObiDatti023  Obidients  PeterObi  PeterObi4President  VotePeterObiForPresident2023  goandverify  goandgetyourPVC  onenigeria  PeterObi  newnigeria  labourparty   "
33,❤️ Obidatti023  
34,It's now clear that the forces fighting PO is beyond unimaginable...  Even Hard earn criminals and politicial ITT's are all fighting to stop him from going to Aso rock...   Obidatti023  OBIdientlyYUSful  7PointAgenda  ThePactWithNigeria  AsuuStrikeUpdates  
35,The real candidate     ObiDatti023  OBIdientlyYusful  
36,"Me: What scares me the most is  the thought of even catching myself think about numbers 2-4 and 9.... God forbid bat thing!  Guys please go get your PVC, vote Peter Obi and get ready to defend your votes.  ObiDatti023  PeterObi4President2023"
37,    ....and you think she would have won !? ...the course is for  ObiDatti023
38,Well I like the way Arise tv gives it platform out to this APC Old and Young Criminals to look and to display their STUPIDITY  Can one just imagine Segun tomori is displaying his BATified 🦇 foolishness  HopeAgain2023   Obidatti023 funke Akindele Abia Hushpuppi  ifeanyiisalive
39,A president is presenting his business model. But invites ONLY a TV station he CONTROLS... At least it's only their Logo on the mic.  Welcome to the neodictatorship . Shame for bad people   TakeBackNaija   PeterObi4President2023   ObiDatti023
40," TakeBackNaija  ObiDatti023 The Ondo State LP Presidential Campaign Council Director General, Prof. Abiodun Ambode, 'hits the ground running'. Meets with representatives of d Ndigbo in Labour Party Ondo State.  ,  ,  ,  ... Forward Ever.  "
41,"""...there is nowhere in Nigeria where a person buys cheaper bread because he is a Muslim or a Christian.” -Peter Obi, LP Presidential Candidate""  OBIdientlyYusful  rtItBot  ObiDatti023 Give this job of fixing Nigeria to the best capable hand with capacity &amp; character, Peter Obi"
42,"Ike Ekweremadu owns below properties,he can’t use the money to establish a well equipped hospital in Enugu.This is pure wickedness. 15 in Abuja 10 in Enugu 9 in Dubai 3 in the US 2 in the UK 1 in Lagos  Enugu  EnoughIsEnough  votewisely  japa  ObiDatti023"
43,"""....Our economic problems arising from poor leadership do not discriminate on the basis of religion or tribe...  rtItBot  OBIdientlyYusful  ObiDatti023"
44,Tinubu and SHETTIMA become our leaders. Imagine a man who was governed Lagos is calling himself Lagos because he gets revenues from the State Government. Who has bewitched us?  PeterObiForPresident  ObiDatti023  Obidients  Tinubu
45,Peter Obi is the way forward don’t let them fool you again🙏🙏 ObiDatti023  
46,"  If Nigeria makes the mistake of electing   or  , I will just know that suffering is our national pastime  ObiDatti023  Obidients  PeterObi4President2023"
47,  If you like follow the few rich tribe and vote for any other person other than     Vote wisely  ObiDatti023 is a sure game  
48,  This is what you hear when people speak from their anus.    See the way you have turn yourself to a ridicule on here. My brother you're not making any sense.  ObiDatti023  
49,I enjoyed every bit of the interview Sir.  ObiDatti023  
50,Wait if Obi still show us shege wetin go xup 🤷‍♂️  ifeanyiisalive  AUSvsAFG  ObiDatti023  Obidients  OBIdientlyYusful  WomanKing  WakandaForever
51,"The reason why those thieves, looters etc, Don't want   To become president is because   no go chop and you too no go chop. 😂     HopeAgain2023  ASUUstrike   HopeAgain2023 Shettima   Obidatti023  "
52,  great analysis today at   keep it up..  ObiDatti023
53,2023 is time for us to make the right choice.  ObiDatti023  
54,  Attack d*g. Nah ur salary you dey work/speak for. No bad feelings.   PeterObi4President2023   ObiDatti023  OBIdientlyYusful
55,"  was  criticising your programmes and some areas I felt you need to improve and a friend in a group came hard on me hence bringing it to your notice.Your lighting,recorded programmes should be looked into etc.We can better especially now politics is on. ObiDatti023"
56,"  You haven't learnt any lesson nor gained reasonable wisdom from the bloody mistakes of your kinsman Gen. Yakubu Gowon (rtd.)  Thankfully, you got just one vote to cast.   PeterObi4President2023  ObiDatti023  OBIdientlyYusful"
57,         ObiDatti023   OBIdientlyYusful   Obidients   peterobi2023   PeterObi4President
58,  💯  ObiDatti023
59,     ObiDatti023   Obidients   OBIdientlyYusful
60,Tell them.  They can't boast of such high level of integrity.  Every other story na lie lobade   Obidatti023 funke Akindele Abia Hushpuppi  ifeanyiisalive CONGRATULATIONS DOYIN  Chioma APGA Wike Enugu Seyi sambisa Rivers state the woman King  Chimaroke prison ibadan  
61,"  We move with you,   and  ObiDatti023   OBIdientlyYusful   PeterObi4President2023  "
62,Thiefnubu tasting if his zobo is sweet or bitter.🙄🌚  godforbidbathing   ObiDatti023   OBIdientlyYusful  
63,"Thank you Isaac. Am delighted in your outting. I listened to everything. One more thing, I love the smile of victory you gave when your opponent was finding difficult to assemble his point thinking you are favored more in the discussion. Kudos Comrade.   ObiDatti023  "
64,"It's soo funny that APC wants to save Nigeria from APC.  APC wants to save Nigeria from the hands of an old and unhealthy man, with another older and weaker man.  Nobi juju be that?   ObiDatti023   PeterObi4President2023"
65,So I saw this guy waving the  LabourParty flag earlier today in Ajao Estate.  Was just too glad to see him🥳🥳.   PeterObi4President2023   ObiDatti023  
66,  is the people’s choice and the will of the people must prevail in Nigeria.  OBIdientlyYusful  ObiDatti023  Obidients  PeterObi4President2023
67,"    Just mess, no! But shit cos ni dey stain yansh. And like who don hit wall, we go bounce back.  ObiDatti023 F4F"
68,  is on  hardcopy on   now.. don’t miss out  ObiDatti023  OBIdientlyYusful  Obidients  TakeBackNaija
69,Vote Labour party all round     ObiDatti023  
70,Can you Imagine what they did to Peter Obi and his campaign team in Nasarawa State .... This is really fight against evil Politicians who want status to remain the same.... God willing Obi will emerge President come 2023 against all odds!   ObiDatti023  
71,  Avoid Politrickal lies of selfish APC/PDP Members paid to deceive you.  Stop listening to a hypocrite Men  The last PDP 16 &amp; APC 7+ years of Evil govt is enough for you to think  This is where &amp; how to VOTE for LP  ObiDatti023 election for a New better Nigeria.   ObidientKnight🤺  
72,Obi is coming!  ObiDatti023  OBIdientlyYusful  
73,Tinubu of APC wants to rescue you from the same APC?  No be madness dey worry una??  Vote  ObiDatti023  PeterObi4President2023     Tinubu Peter Obi Atiku APC PDP Funke Akindele
74,Guys some group of people are using   to sc  people. This is the message they are sending.  Please guys disregard this message     PeterObi4President2023  EndSARS   PeterObiForPresident   OBIdientlyYusful  Obidients   ObiDatti023  
75,With this currency like this one head is better than two heads Nigeria is doomed enconomically only a Messiah   can match Naira to dollar  PeterObi4President2023  OBIdientlyYusful  ObiDatti023  EndSARS  
76,A word is enough for the wise  TakeBackNaija   ObiDatti023  
77,  clowning is now profession of the rattled supposedly comfortable politheifcians. Keep entertaining us till  ObiDatti023 comes
78,  BAT created Lagos State in fact.  GetYourPVC  OurMumuDonDo  ObiDatti023
79,"Incoming Lagos State governor, Gbadebo Rhodes - Vivour, at the launching of Peter Obi's book titled ""The Challenges of Good Governance and Leadership in Nigeria"" (The Peter Obi Factor)      IPOB River State  ASSUstrike Chioma  OBIdientlyYusful  ObiDatti023  "
80,The choice is yours Nigerians! The choice is yours to Choose 🇳🇬 Is either you choose a new Nigeria by voting for  ObiDatti023 or choose continuous suffering with BAT + the rest.    EndSARS   endpoverty   fridaymorning   nigeriaisbleeding   NigeriaDecides2023  
81,"""Peter Obi"" has clarity of purpose &amp; Nigeria desperately needs the solutions he has to proffer. If we miss this man come 2023 then another 8years of worse horror awaits us all.  BATthing  BeatSapawithJumia ""Rivers State""  ASUUstrike  UnknownDJ Reno  AsuuStrikeUpdates  ObiDatti023  "
82, PeterObi4President2023   prayforpeterobi  ObiDatti023  
83, buhari said he won't interfere  in this election.... Story storyyyyy ?   PeterObi4President2023   prayforpeterobi  ObiDatti023
84,Happy Friday... . . . .  photooftheday  photography  jumamubarak❤️  lamdscapephotography  abuja  mobilephotography  naturephotography  nature  nigeria  ranching  sunsetphotography  AsuuStrikeUpdates  PeterObi4President2023  ObiDatti023  OBIdientlyYusfu  GodofWarRagnarok  
85,Well be going live🚨 I the next 25 Minutes! Join us    LP  LabourParty  ObiDatti023  
86, ObiDatti023  OBIdientlyYusful  Obidients  
87,  Tufia!!!!!!!! How can one follow Bush when there is a road in an  ObiDatti023 ticket
88,Another Candidate comes in the room to make his Case for the House of Representative.  Tune in zoom call 10.30am tomorrow.  obikin  ObiDatti023  OBIdientlyYusful  Obidients  
89,Which of the letter bellow is the first letter in the name of Nigeria next president?🤔   NigeriaDecides2023  BATKSM2023  AtikuOkowa2023  ObiDatti023 Obasanjo  ASUUstrike  Hushpuppi Eminem
90,"Naira records an all-time fall against the dollars, out of school children, inflation and unemployment hitting a record high. We need to get it right in 2023  ObiDatti023  Iyawe2023  "
91,  and   have you guys seen this? This people are ruthlessly planning evil ooo.  ObiDatti023 will overcome them.  
92,🤣🤣🤣 PeterObi4President2023  ObiDatti023  
93,If you like believe China now operates Police station in Nigeria if you like don't.   Obidatti023 Kashim Shettima Wike Yahaya bello  ifeanyiisalive buhari and APC Atiku  Chioma dorathy South East Billion dollar baby  AsuuStrikeUpdate sambisa Abia the street made queen  
94,Just drop a super fire freestyle on my Instagram page Please go and see   asuu  ObiDatti023  AUSvsAFG  davido  mlle    
95,I am contesting for president of Nigeria through Peter Obi and Datti Baba Ahmed. Please vote for me vote Labour Party 🎊  PeterObi4President2023  PeterObiForPresident  ObiDatti023  OBIdientlyYusful  
96,"    Both you and I know the bigoted APC lagosians don’t want LP to take Lagos from them. Better wise up and join the  ObiDatti023 movement otherwise una go see shege pro max. Police brutality, Hunger and banditry does not know who is APC, PDP or LP. Election will come and go"
97,On God  ObiDatti023  OBIdientlyYusful  
98,"And we have another Presidential candidates whose interviews revolve around cassava, agbado and 50m farmers.  I hope we get it right this.  ObiDatti023  "
99,A servant heart can only be found in a servant leader I see it in Peter Obi. Vote  ObiDatti023
100,"  I don't think they'll be a president who wouldn't want to visit the state for one reason or the other,though let's focus on our man💪🏾  ObiDatti023"
101,"Forget politics, we still be brothers and sisters, we are United, we are one Nigeria ❤️🇳🇬.... Your free to vote any candidate of your choice as for me, my families, my friends, my kindred and community na   get our vote  ObiDatti023  OBIDIENT  PeterObi4President2023"
102,"APC is shaky as shaky as Thiefnubu's hands and legs,don't believe the hype😂😂😂😂   Obidatti023 Kashim Shettima Odunlade funke Akindele Abia Hushpuppi  ifeanyiisalive CONGRATULATIONS DOYIN  Chioma APGA Wike Enugu Seyi sambisa Rivers state the woman King  Chimaroke prison ibadan"
103,Please all the African countries stop comparing yourself with Nigerians do you know what it is to be born in Nigeria and to be living in Nigeria I knew what it is to be a Nigerian ✊  ObiDatti023
104,As I Pray This Midnight Father Our Labour shall not be in Vain. I here by cripple the evil works of APC Against Nigeria   Obidatti023 funke Akindele Abia Hushpuppi  ifeanyiisalive CONGRATULATIONS DOYIN  Chioma APGA Wike Enugu Seyi sambisa Rivers state the woman King  Chimaroke
105,"          Yes between the devil and the deep blue sea, between a thief and a rogue. Thank God we have a bettter option.  ObiDatti023🤞😜"
106,"Your Agbado Vic President Terrorist Kashim Shettima Boko Haram Comander in power Saïd that he is not interested in Restructure.   Shetima said, Restructuring my foot.   Obidatti023 Funke Akindele Abia Hushpuppi  ifeanyiisalive CONGRATULATIONS DOYIN  Chioma APGA Wike Enugu Seyi"
107,"nasoooooooo, give them hot hot  ObiDatti023  PeterObi4President2023  "
108,How can you advertise rotten tomatoes? This post is not about tomatoes 🙂Tinubu and the Apc na bad market.   Obidatti023 funke Akindele Abia Hushpuppi  ifeanyiisalive CONGRATULATIONS DOYIN  Chioma APGA Wike Enugu Seyi sambisa Rivers state the woman King  Chimaroke prison
109,                  Damn! He’s so tall..  ObiDatti023   OBIdientlyYusful   GRVForLagos
110,It's Raining 🌧 Miracles! Click on the link to join HEALING STREAMS LIVE with Pastor Chris     Funke Akindele Hushpuppi Seyi Odunlale Kemi Tinubu Rufai Wike Atiku Abubakar Reno Abuja Kaduna State Obidient  ObiDatti023  
111,I can believe I fell for this lies... Ah Oluwa forgive me for my negligence... Give Us this Second Chance.  ObiDatti023  
112,He living office soon so they want use him to get Voters for Jagaban E no go work abeg    Obidatti023 Kashim Shettima Wike Yahaya bello  ifeanyiisalive buhari and APC Atiku  Chioma dorathy South East Billion dollar baby  AsuuStrikeUpdate sambisa Abia the street made queen  
113,Jandor and FUNKE AKINDELE ready to change the narrative of LAGOSIAN to Goodnews.  Vote Wisely.  Jonathan • INEC •  ASUUstrike • Buhari • Funke Akindele • South East • Cold War  ObiDatti023    
114,"  how do you expect people celebrate Christmas with the high cost of everything in the market, are you people not seeing all that is going on for God sake? Why are you people so heartless like this? Why?  Funke Akindele Davido Odunlade Seyi Tinubu  ObiDatti023"
115,"As Peter Obi is set to commence his university campus visit, I hereby contribute myself as the head boy of obidatti new school.  Obiin  ObiDatti023 hushpuppi  funke akindele  "
116,U don collect your PVC?  PeterObi4President2023  OBIdientlyYusful  ObiDatti023  AsuuStrikeUpdate Davido Chioma japa  South East  BeatSapaWithJumia Wike otedola NO LEAVE NO TRANSFER  
117," 30minutes with   on     :30pm  Monday, 7th November, 2022   trusttvnews   ObiDatti023   Obidients   PeterObi4President2023   PeterObi4President   OBIDIENT  2023Elections   LabourParty  "
118,  Yes you correct the buildings wiill vote Atiku the wayo Man!! And the obidient people of Edo state will vote peter OBI  ObiDatti023   Obidients
119,"Now this is the question the APC loving people should be answering. If you had the power to go back to 2014 to vote again, will you to vote in this mess? 99% of them would sadly say yes because they don't care about the country.  ObiDatti023  "
120,"  😂😂 Mumu strong.  The only thing you see your papa do na to thief state money become billionaire.  Musa wetin you for do? No be politician you go be?  Just like   ?  With Peter obi, politics is not a cash cow business, them don dey fear😂  ObiDatti2023  ObiDatti023"
121,Nigeria and hardship has close relationship. How can we break them?  VoteToSaveNaija  ObiDatti023  LabourParty  OBIDIENT  
122,  Yes . I am  OBIdientlyYusful   ObiDatti023   PeterObi4President
123,  I support Peter Obi but am not senseless.   ObiDatti023
124,This was the question President Buhari and Vice President Yemi Osinbajo asked us 7 years ago.  Nigerians are asking them today. Is N800 to $1 okay?  We must act now!!!  PeterObi4President2023  EndSARS  ObiDatti023  
125,NAIRA IN PAIN😭 £1: 1000 NGR Nigeria 🇳🇬  which way? Who can help?  ASUUstrike  Bat2023  ObiDatti023  INeedHelp  AtikuOkowa2023
126,"Best advice of the year coming from   , Nigerians it’s time to wake up and do the right thing…..  ObiDatti023  "
127, EndBadGoveranceInNigeria  endsars  Obidatti023    
128, EndBadGoveranceInNigeria  endsars  Obidatti023      
129,"  What is this one talking about. I blame you Nigerians for allowing illiterates and the blinds to govern you. Keep on recycling them!! Keep on having hope on APC and PDP, that failed you for 22 years will do better.  papamamapikin  ObiDatti023  OBIDIENT"
130,Get healing now.     Ngige  ifeanyiisalive Yahaya Bello The prophet North Elesin Oba Soviet union wike obidients BATS  ObiDatti023  PastorChris  healingstreamstv  HealingStreams  muslim  islam  atheist  ooni 250k in lagos seyi  
131,    Let's assume 61 plus 8 is 69. How is that too old..you just hate Peter Obi for no reason ..and secondly he would win against all odds🙏..Insha Allah ...Nigeria must be delivered.  Rufai seun  ObiDatti023  PeterObi4President2023 Get used to it brah
132,"Click to be RECEIVE HEALING FOR YOUR SELF OF FOR THAT FAMILY MEMBER, GET HEALED FROM SAPA😊     Ngige  ifeanyiisalive Yahaya Bello The prophet North Elesin Oba Soviet union wike obidients BATS  ObiDatti023  PastorChris  healingstreamstv  HealingStreams  "
133,Las las  's table dan scatter for   head .  TableShaker   ObiDatti023  
134,CLICK AND GET HEALED    Ngige  ifeanyiisalive Yahaya Bello The prophet North Elesin Oba Soviet union wike obidients BATS  ObiDatti023  PastorChris  healingstreamstv  HealingStreams  muslim  islam  atheist  Ooni  
135,WE ARE LIVE!!!. Use this link if you need healing for anything.    Ngige  ifeanyiisalive Yahaya Bello The prophet North Elesin Oba Soviet union wike obidients BATS  ObiDatti023  PastorChris  healingstreamstv  HealingStreams  muslim  islam  atheist  Ooni  
136,  Next time you will learn how to Dey your lane  ObiDatti023
137,Nothing but the facts please 🙏 aggressive  and LIKES 🙏🙏🙏            ObiDatti023  Fireboydml wakanda blank panther  
138,"“I and Datti Baba Ahmad will bring a govt that is needed, built on character and competence- Peter Obi     Watch full interview  30mins with Peter Obi on    Date: Monday 7 Time: 7:30 pm Repeat: Thursday:5:00pm   PeterObiForPresident   ObiDatti023  "
139,"I just want you all to know that my account is active campaigning for   and Datti, we are rooting for a better Nigeria.   PeterObi4President2023  T20worldcup22  ObiDatti023"
140,"So the CBN directives on Naira is causing an excessive demand of the already scarce dollar.  Criminals and evil politicians are quickly exchanging their sacks of Nairas for Dollars, creating an artificial spike for USD.   2023Elections  ObiDatti023"
141,"There’s need to take this Inec antics seriously, if people that applied since May can’t collect their PVC till now, when will we that applied by July collect ours 🙆‍♂️  This is no longer funny we really need to speak up 🗣️🗣️🗣️   ObiDatti2023  ObiDatti023  "
142,Wix Trends | US court finally sentenced hushpuppi to 11 years in prison -    ifeanyiisalive wike ngige Yahaya bello chioma  BiggBossTamil6  AsuuStrikeUpdate  asuu Nigerian  ObiDatti023 tinubu  
143,  Eat all you want. Our president would make y'all vomit it.  ObiDatti023  
144,"Nigerians has answered our prayers. The question is, are we ready for the manifestation to take place?   ObiDatti023  "
145,"        If   ensure us this in 2015, we all believe in him and we voted   and they Failed us. My dear brother and sister even the once across the Nation, we are not going back to Egypt, we are Obidiently on our way to Jerusalem  ObiDatti023  "
146,APC Supporters are now buying Petrol at  45 from Petrol Station Nationwide  😂😂😂😂😜😜😜😜 Just Go with your APC Membership Form Yeye dey smell!!! 🤣🤣🤣  If you like no vote wisely next year.  ObiDatti023  OBIdientlyYusful
147,      I know. You na my personal  ObiDatti023 person.
148,"Yes, I will keep ranting. let that be my absolute anger for a corrupt system. The day Nigeria will change that will be my joy.   Psalm 30:5 weeping may endure for a night, but joy cometh in the morning.  ObiDatti023"
149,  Don't be fooled  Vote wisely Vote  ObiDatti023  
150,President Buhari have a message for you all.  HopeAgain2023  The prophet Boko Haram yahaya bello Mr eazi visa mazi nnamdi kanu seyi ngige iyanya wike asuu sambisa the woman king kemi elesin oba Cameroon north  ObiDatti023  OBIDIENT Reuben abati IELTS brymo  
151,"A Peter Obi led administration will provide wholesome change, Nigerians cannot suffer at home and suffer abroad. A Peter Obi victory will turn things around for friends and for enemies. Vote Peter Obi, he is better.    ObiDatti023"
152,"A prayer for Peter Obi.  The Spirit of the LORD will rest on Him--the Spirit of wisdom and understanding, the Spirit of counsel and strength, the Spirit of knowledge and fear of the LORD will be with him.  ObiDatti023"
153,Continuous incarceration of Hon. Linus Abaa Okorie is inhuman. We are brothers before politics set in. Power is transient.            freelinusokorie  T20worldcup22  LabourParty  ObiDatti023  PeterObi4President2023  
154,"For God has not given us a spirit of fear, but one of power, love, and sound judgement.  Obidients we have no business with fear, we have no business over what we can't control. Focus on campaigning and keep your PVC safe.  ObiDatti023"
155,Why I will vote  ObiDatti023  
156,"For God did not give us a spirit of timidity or cowardice or fear, but [He has given us a spirit] of power and of love and of sound judgment and personal discipline [abilities that result in a calm, well-balanced mind and self-control].   Obidients  ObiDatti023"
157,You can't stop an idea whose time has come! Vote  ObiDatti023
158,"For God has not given us a spirit of timidity, but of power and love and discipline. Obidients we are not timid, Nigerians are known for resiliency, the establishment is wasting its time. Fear not! Get your PVC. Talk to someone about Peter Obi!   ObiDatti023"
159,  I am a professional photographer I want to be part of your media campaign team for this election we've won already. It's a dream and I'll be fulfilled if my dream comes through sir.  ObiDatti023  obiforpresident  betternigeria  PeterObi4President2023
160,"It is not our business to worry about the opposition and the establishment, nobody said it was going to be easy. God has directed us to FOCUS! Keep your eyes on the Almighty, the goal is to get Peter Obi to Aso rock.   Obidients  ObiDatti023  prayerchart"
161,  They have been brainwashed and fed them with lies about Ipob. This group they are all tagging Peter Obi is succession group seeking for independent state because of marginalization.  ObiDatti023  OurTime
162,"You have no business with fear, you have no business with what you can't control. The task ahead of us is great and requires sacrifices. Focus on what you can control.    Obidients  ObiDatti023  prayerchat"
163,AM JUST EMERGING HOW A FULL BLOODED YOUNG PERSON WILL BE CAMPAIGNING AND PLANING TO VOTE FOR A DYING MAN JUST BECAUSE OF NONSENSE CASH HE OR SHE WILL RECEIVE. AM DISAPPOINTED BY ALL THE YOUNG NIGERIANS CAMPAIGNING FOR A DYING PRESIDENTIAL CANDIDATE.  ObiDatti023  Obidients
164,"For God has not given us the spirit of fear but of power and of love, and of a sound mind.    Obidients  ObiDatti023"
165,"God bless Adedenjo of Afenifere group, Obasanjo and Arewa group for standing on the truth. The truth shall prevail at the end.   Obidatti023 the prophet Aunty cuppy junet Kashim Shettima Wike Yahaya bello  ifeanyiisalive buhari and APC Atiku  Chioma dorathy South East Billion"
166, ObiDatti023  
167,"No matter how many people Tinubu and Shettima kills or buy , they will never smell Aso rock in this life time.  Go and mark it.   Obidatti023 the prophet  EFCC femi otedola Kashim Shettima Wike Yahaya bello  ifeanyiisalive buhari and APC Atiku  Chioma dorathy South East"
168,APC is after your life  Before APC  Minimum wage- 18000 =$97 APC government Minimum wage -30000=$37  The next inline says he will continue where Buhari stopped   Run ooo Get your PVC and Vote  ObiDatti023
169,  see Ada you have no choice but to follow me back asap  This your ☺ get as e dey do me   Obidatti023 Kashim Shettima Wike Yahaya bello  ifeanyiisalive buhari and APC Atiku  Chioma dorathy South East Billion dollar baby
170,Chai Ada will you ever forgive ehhn 🙏🏿  No be people like you I dey talk Asa one of Afrika  Obidatti023  Kashim Shettima Wike Yahaya bello  ifeanyiisalive buhari and APC Atiku  Chioma dorathy South East Billion dollar baby  AsuuStrikeUpdate  
171,"Will you allow this game to continue in Nigeria ? Vote Wisely , vote  ObiDatti023 ,vote  LabourParty  "
172,Apc means   Automatic pains👺 coming 😂😂😂😂   Obidatti023 Kashim Shettima Wike Yahaya bello  ifeanyiisalive buhari and APC Atiku  Chioma dorathy South East Billion dollar baby  AsuuStrikeUpdate sambisa Abia the street made queen  Chimaroke Mr Eazi femi otedola
173,Apc means   Automatic pains👺 coming 😂😂😂😂   Obidatti023 Kashim Shettima Wike Yahaya bello  ifeanyiisalive buhari and APC Atiku  Chioma dorathy South East Billion dollar baby  AsuuStrikeUpdate sambisa Abia the street made queen  Chimaroke Mr Eazi femi otedola
174,See fish 2500 and most of una still get mind won vote APC   ObiDatti023   ObiDatti2023   deprem  
175,"From 12th-18th of November PVC will be brought to de ward where u registered, collect urs b4 it's returned to LG inec office   Obidatti023 Kashim Shettima Wike Yahaya bello  ifeanyiisalive buhari and APC Atiku  Chioma dorathy South East Billion dollar baby  AsuuStrikeUpdate sambi"
176,  bimbim follow me dear   Obidatti023 Kashim Shettima Wike Yahaya bello  ifeanyiisalive buhari and APC Atiku  Chioma dorathy South East Billion dollar baby
177,"PDP met $1 at N90 in 1999.  They left it at N180.  Added N90 with corruption in 16yrs. Today, APC has added N700 in 7yrs.   Obidatti023 Kashim Shettima Wike Yahaya bello  ifeanyiisalive buhari and APC Atiku  Chioma dorathy South East Billion dollar baby  AsuuStrikeUpdate sambisa"
178,  better mallam just follow me back now thanks   Obidatti023 Kashim Shettima Wike Yahaya bello  ifeanyiisalive buhari and APC Atiku  Chioma dorathy South East Billion dollar baby  AsuuStrikeUpdate
179,Renewed hopelessness APC.. awon werey   Obidatti023 Kashim Shettima Wike Yahaya bello  ifeanyiisalive buhari and APC Atiku  Chioma dorathy South East Billion dollar baby  AsuuStrikeUpdate sambisa Abia the street made queen  Chimaroke Mr Eazi femi otedola
180,"Okwute, you are doing so well, I know like me at times it feels like it’s not worth it pushing further. Just remember, we gat your 6, no matter how bad it gets, night is darkest just before dawn.  ObiDatti023  "
